fieldId,fieldCulture,fieldDensity,fieldComplexity,harvesterName,harvesterType,reaperType
1,rice,0.54,0.17,Fendt Katana 85,Universal,Medium
2,sunflower,0.97,0.17,John Deere 8500i,Universal,Narrow
3,buckwheat,0.42,0.52,Fendt Katana 85,Universal,Wide
4,buckwheat,0.44,0.0,John Deere 8500i,Semi,Wide
5,buckwheat,0.94,0.99,CLAAS Jaguar 860,Specialized,Wide
6,sugar beets,0.62,0.91,Case IH Austoft 8810,Specialized,Wide
7,sugar beets,0.81,0.05,John Deere T670i,Semi,Wide
8,rice,0.9,0.58,Case IH Austoft 8810,Specialized,Narrow
9,beans,0.4,0.3,CLAAS Jaguar 860,Semi,Medium
10,wheat,0.63,0.2,LEXION 8900,Specialized,Narrow
11,wheat,0.75,0.15,John Deere T670i,Specialized,Narrow
12,sunflower,0.78,0.4,Case IH Austoft 8810,Specialized,Medium
13,sugar beets,0.36,0.54,MF Ideal 7,Semi,Wide
14,wheat,0.89,0.7,CLAAS Jaguar 860,Specialized,Medium
15,buckwheat,0.01,0.86,CLAAS Jaguar 860,Specialized,Narrow
16,corn,0.52,0.18,Fendt Katana 85,Specialized,Wide
17,wheat,0.19,0.78,Case IH Austoft 8810,Semi,Wide
18,rye,0.46,0.55,Case IH Austoft 8810,Semi,Narrow
19,corn,0.84,0.0,CLAAS Jaguar 860,Universal,Wide
20,soy,0.86,0.32,Fendt Katana 85,Specialized,Narrow
21,beans,0.59,0.38,CLAAS Jaguar 860,Specialized,Medium
22,corn,0.84,0.69,John Deere T670i,Universal,Wide
23,sugar beets,0.23,0.08,John Deere S780,Semi,Medium
24,beans,0.2,0.46,CLAAS Jaguar 860,Semi,Wide
25,oats,0.21,0.11,Fendt Katana 85,Semi,Medium
26,sugar beets,0.38,0.34,MF Ideal 7,Specialized,Narrow
27,sugar beets,0.44,0.17,Krone Big X1180,Specialized,Narrow
28,wheat,0.79,0.8,Krone Big X1180,Specialized,Narrow
29,buckwheat,0.36,0.58,Case IH Austoft 8810,Specialized,Narrow
30,buckwheat,0.41,0.99,John Deere 8500i,Universal,Narrow
31,rice,0.95,0.29,John Deere S780,Specialized,Wide
32,rye,0.43,0.2,LEXION 8900,Universal,Narrow
33,rice,0.89,0.9,Fendt Katana 85,Universal,Medium
34,beans,0.55,0.96,CLAAS Jaguar 860,Universal,Narrow
35,beans,0.09,0.19,Case IH Austoft 8810,Specialized,Medium
36,buckwheat,0.31,0.11,Case IH Austoft 8810,Specialized,Narrow
37,corn,0.83,0.83,John Deere T670i,Specialized,Wide
38,rye,0.24,0.67,John Deere S780,Specialized,Wide
39,sunflower,0.65,0.27,MF Ideal 7,Specialized,Narrow
40,soy,0.11,0.69,MF Ideal 7,Semi,Medium
41,sugar beets,0.41,0.89,Fendt Katana 85,Universal,Narrow
42,rice,0.29,0.13,LEXION 8900,Universal,Narrow
43,rice,0.19,0.86,John Deere S780,Semi,Narrow
44,soy,0.84,0.52,CLAAS Jaguar 860,Specialized,Medium
45,sunflower,1.0,0.69,Fortschritt E524,Universal,Wide
46,beans,0.11,0.94,MF Ideal 7,Specialized,Wide
47,corn,0.78,0.42,John Deere 8500i,Universal,Wide
48,oats,0.4,0.03,Krone Big X1180,Semi,Medium
49,oats,0.39,0.78,John Deere 8500i,Universal,Narrow
50,wheat,0.88,0.54,MF Ideal 7,Specialized,Medium
51,rice,0.29,0.13,Fendt Katana 85,Semi,Narrow
52,sunflower,0.39,0.26,Krone Big X1180,Semi,Narrow
53,soy,0.02,0.99,CLAAS Jaguar 860,Universal,Narrow
54,rye,0.41,0.51,Fendt Katana 85,Universal,Narrow
55,corn,0.15,0.32,CLAAS Jaguar 860,Specialized,Narrow
56,rye,0.18,0.9,John Deere T670i,Specialized,Wide
57,sugar beets,0.13,0.47,LEXION 8900,Specialized,Narrow
58,soy,0.81,0.31,MF Ideal 7,Semi,Narrow
59,sunflower,0.05,0.11,Fortschritt E524,Semi,Wide
60,sunflower,0.62,0.73,LEXION 8900,Specialized,Narrow
61,rice,0.07,0.25,John Deere 8500i,Specialized,Narrow
62,sunflower,0.47,0.39,Case IH Austoft 8810,Semi,Wide
63,corn,0.55,0.25,John Deere 8500i,Universal,Medium
64,corn,0.9,0.77,John Deere S780,Specialized,Medium
65,buckwheat,0.49,0.43,Krone Big X1180,Specialized,Medium
66,oats,0.32,0.49,LEXION 8900,Semi,Narrow
67,rice,0.4,0.92,Case IH Austoft 8810,Universal,Medium
68,buckwheat,0.3,0.43,CLAAS Jaguar 860,Specialized,Narrow
69,soy,0.37,0.32,Fendt Katana 85,Specialized,Medium
70,rye,0.25,0.53,John Deere S780,Semi,Narrow
71,wheat,0.19,0.06,John Deere 8500i,Specialized,Wide
72,rice,0.69,0.76,John Deere S780,Universal,Wide
73,sugar beets,0.61,0.6,Fendt Katana 85,Specialized,Medium
74,buckwheat,0.53,0.49,John Deere S780,Specialized,Narrow
75,sugar beets,0.27,0.96,CLAAS Jaguar 860,Universal,Wide
76,oats,0.67,0.38,John Deere 8500i,Semi,Medium
77,soy,0.72,0.39,CLAAS Jaguar 860,Semi,Narrow
78,sugar beets,0.28,0.91,John Deere T670i,Specialized,Wide
79,rice,0.46,0.65,John Deere 8500i,Semi,Narrow
80,soy,0.33,0.75,MF Ideal 7,Semi,Narrow
